34,09:15 AM - 10:10 AM,Monday,3160707,211240107066,LECTURE,,CE,6
35,10:10 AM - 11:05 AM,Monday,3160713,211240107021,LECTURE,,CE,6
36,11:15 AM - 01:05 PM,Monday,3160001,211240107061,LAB,A,CE,6
37,11:15 AM - 01:05 PM,Monday,3160712,211240107040,LAB,B,CE,6
38,11:15 AM - 01:05 PM,Monday,3160713,211240107021,LAB,C,CE,6
39,02:00 PM - 02:55 PM,Monday,3160716,211240107063,LECTURE,,CE,6
40,02:55 PM - 03:50 PM,Monday,3160704,211240107033,LECTURE,,CE,6
41,09:15 AM - 11:05 AM,Tuesday,3160716,211240107063,LAB,A,CE,6
42,09:15 AM - 11:05 AM,Tuesday,3160707,211240107066,LAB,B,CE,6
43,09:15 AM - 11:05 AM,Tuesday,3160712,211240107040,LAB,C,CE,6
44,11:15 AM - 12:10 PM,Tuesday,3160713,211240107021,LECTURE,,CE,6
45,12:10 PM - 01:05 PM,Tuesday,3160707,211240107066,LECTURE,,CE,6
46,02:00 PM - 02:55 PM,Tuesday,3160712,211240107040,LECTURE,,CE,6
47,02:55 PM - 03:50 PM,Tuesday,3160704,211240107033,LECTURE,,CE,6
48,09:15 AM - 11:05 AM,Wednesday,3160713,211240107021,LAB,A,CE,6
49,09:15 AM - 11:05 AM,Wednesday,3160716,211240107063,LAB,B,CE,6
50,09:15 AM - 11:05 AM,Wednesday,3160707,211240107066,LAB,C,CE,6
51,11:15 AM - 12:10 PM,Wednesday,3160712,211240107040,LECTURE,,CE,6
52,12:10 PM - 01:05 PM,Wednesday,3160707,211240107066,LECTURE,,CE,6
53,02:00 PM - 02:55 PM,Wednesday,3160704,211240107033,LECTURE,,CE,6
55,09:15 AM - 10:10 AM,Thursday,3160716,211240107063,LECTURE,,CE,6
56,10:10 AM - 11:05 AM,Thursday,3160704,211240107033,LECTURE,,CE,6
57,11:15 AM - 01:05 PM,Thursday,3160712,211240107040,LAB,A,CE,6
58,11:15 AM - 01:05 PM,Thursday,3160713,211240107021,LAB,B,CE,6
59,11:15 AM - 01:05 PM,Thursday,3160001,211240107061,LAB,C,CE,6
60,02:00 PM - 02:55 PM,Thursday,3160712,211240107040,LECTURE,,CE,6
61,02:55 PM - 03:50 PM,Thursday,3160002,211240107038,LECTURE,,CE,6
62,09:15 AM - 10:10 AM,Friday,3160704,211240107033,LECTURE,,CE,6
63,10:10 AM - 11:05 AM,Friday,3160713,211240107021,LECTURE,,CE,6
64,11:15 AM - 01:05 PM,Friday,3160707,211240107066,LAB,A,CE,6
65,11:15 AM - 01:05 PM,Friday,3160001,211240107061,LAB,B,CE,6
66,11:15 AM - 01:05 PM,Friday,3160716,211240107063,LAB,C,CE,6
68,02:55 PM - 03:50 PM,Friday,3160002,211240107038,LECTURE,,CE,6
